Metric,Company,Year,Values,Source,Existing,Checked
Total_energy_use,Unilever,2015,27080563,https://www.unilever.com/files/ea01feea-6d32-461a-b734-2123f66627b7/unilever-sustainability-performance-data-climate.xlsx,No,
Renewable_energy_use,Unilever,2021,12780843,https://www.unilever.com/files/ea01feea-6d32-461a-b734-2123f66627b7/unilever-sustainability-performance-data-climate.xlsx,No,
Renewable_energy_use,Unilever,2020,12220132,https://www.unilever.com/files/ea01feea-6d32-461a-b734-2123f66627b7/unilever-sustainability-performance-data-climate.xlsx,No,
Renewable_energy_use,Unilever,2019,10967332,https://www.unilever.com/files/ea01feea-6d32-461a-b734-2123f66627b7/unilever-sustainability-performance-data-climate.xlsx,No,
Renewable_energy_use,Unilever,2018,9495335,https://www.unilever.com/files/ea01feea-6d32-461a-b734-2123f66627b7/unilever-sustainability-performance-data-climate.xlsx,No,
Renewable_energy_use,Unilever,2017,8899486,https://www.unilever.com/files/ea01feea-6d32-461a-b734-2123f66627b7/unilever-sustainability-performance-data-climate.xlsx,No,
Renewable_energy_use,Unilever,2016,8616568,https://www.unilever.com/files/ea01feea-6d32-461a-b734-2123f66627b7/unilever-sustainability-performance-data-climate.xlsx,No,
Renewable_energy_use,Unilever,2015,7663799,https://www.unilever.com/files/ea01feea-6d32-461a-b734-2123f66627b7/unilever-sustainability-performance-data-climate.xlsx,No,
Renewable_Purchased_Offsite,Unilever,2021,9.8,https://www.unilever.com/files/ea01feea-6d32-461a-b734-2123f66627b7/unilever-sustainability-performance-data-climate.xlsx,No,
Renewable_Purchased_Bundled_RECs,Unilever,2021,24.5,https://www.unilever.com/files/ea01feea-6d32-461a-b734-2123f66627b7/unilever-sustainability-performance-data-climate.xlsx,No,
Renewable_Purchased_Unbundled_RECs,Unilever,2021,65.2,https://www.unilever.com/files/ea01feea-6d32-461a-b734-2123f66627b7/unilever-sustainability-performance-data-climate.xlsx,No,
Renewable_Purchased_Offsite,Unilever,2020,15.3,https://www.unilever.com/files/ea01feea-6d32-461a-b734-2123f66627b7/unilever-sustainability-performance-data-climate.xlsx,No,
Renewable_Purchased_Bundled_RECs,Unilever,2020,18.8,https://www.unilever.com/files/ea01feea-6d32-461a-b734-2123f66627b7/unilever-sustainability-performance-data-climate.xlsx,No,
Renewable_Purchased_Unbundled_RECs,Unilever,2020,65.4,https://www.unilever.com/files/ea01feea-6d32-461a-b734-2123f66627b7/unilever-sustainability-performance-data-climate.xlsx,No,
Renewable_Purchased_Offsite,Unilever,2019,18.8,https://www.unilever.com/files/ea01feea-6d32-461a-b734-2123f66627b7/unilever-sustainability-performance-data-climate.xlsx,No,
Renewable_Purchased_Bundled_RECs,Unilever,2019,21.9,https://www.unilever.com/files/ea01feea-6d32-461a-b734-2123f66627b7/unilever-sustainability-performance-data-climate.xlsx,No,
Renewable_Purchased_Unbundled_RECs,Unilever,2019,58.7,https://www.unilever.com/files/ea01feea-6d32-461a-b734-2123f66627b7/unilever-sustainability-performance-data-climate.xlsx,No,
"Global Reporting Initiative+Direct greenhouse gas (GHG) emissions (Scope 1), GRI 305-1-a (formerly G4-EN15-a)",Accenture,2021,9250,https://wikirate.org/~12068326,,
"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 2), GRI 305-2 (formerly G4-EN16-a)",Accenture,2021,70659,https://wikirate.org/~12068326,,
"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 3), GRI 305-3 (formerly G4-EN17-a)",Accenture,2021,252546,https://wikirate.org/~12068326,fixed,
Commons+Greenhouse Gas Emissions Scope 1,Accenture,2021,9250,,,
Climate Action Research+TCFD Supporter,Accenture,2021,Yes,https://wikirate.org/~6740718,,
Commons+Greenhouse Gas Emissions Scope 1 and 2 combined,Accenture,2021,79909,,,
"Commons+Combined Scope 1, 2 and 3 Greenhouse Gas Emissions (GHG)",Accenture,2021,522380,,,
WikiRate Calculated Metric Design Group+Greenhouse Gas emissions per employee,Accenture,2021,0.118559347181009,,,
Commons+Greenhouse Gas Emissions Scope 2,Accenture,2021,70659,,,
Science Based Targets Initiative (SBTi)+Science Based Targets Status,Accenture,2021,Targets Set,https://wikirate.org/~8081005,,
Gershon M. Bialer+CO2e Intensity,Accenture,2021,0.0000103441584158416,,,
WikiRate Calculated Metric Design Group+Greenhouse gas emissions per dollar revenue,Accenture,2021,0.00000158235643564356,,,
Top 100 Fashion Project Research Group+Science Based Targets,Accenture,2021,Yes,,,
Laureen van Breen+Scope 1 GHG over number of employees,Accenture,2021,0.013724035608309,,,
"Global Reporting Initiative+Direct greenhouse gas (GHG) emissions (Scope 1), GRI 305-1-a (formerly G4-EN15-a)",Accenture,2019,18923,https://wikirate.org/~6570739,,
"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 2), GRI 305-2 (formerly G4-EN16-a)",Accenture,2019,214680,https://wikirate.org/~6570739,,
"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 3), GRI 305-3 (formerly G4-EN17-a)",Accenture,2019,932653,https://wikirate.org/~6570739,,
Commons+Greenhouse Gas Emissions Scope 1,Accenture,2019,18923,,,
Commons+Greenhouse Gas Emissions Scope 1 and 2 combined,Accenture,2019,233603,,,
"Commons+Combined Scope 1, 2 and 3 Greenhouse Gas Emissions (GHG)",Accenture,2019,1166256,,,
WikiRate Calculated Metric Design Group+Greenhouse Gas emissions per employee,Accenture,2019,0.474802845528455,,,
Commons+Greenhouse Gas Emissions Scope 2,Accenture,2019,214680,,,
WikiRate Calculated Metric Design Group+Progress Scope 1 Emissions,Accenture,2019,85.3040616688455,,,
Science Based Targets Initiative (SBTi)+Science Based Targets Status,Accenture,2019,Targets Set,https://wikirate.org/~6321626,,
WikiRate Calculated Metric Design Group+Greenhouse Gas emissions per dollar profit,Accenture,2019,0.038933833333333,,,
